Station Name,Latitude,Longitude,Search Term,Business Name,Business Category,Business Rating,Business Address,Business Phone,Business Distance (meters)
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Coco Bambu,Restaurants,4.1,"Av. Professor Magalhães Neto, 1273",+557133599000,1247.2229734760983
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Bella Nápoli,Restaurants,3.9,"Alameda das Espatodeas, 491",+557133541962,872.5585611796413
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,DOC Casual Dinning,Restaurants,4.3,"R. das Dálias, 584, Pituba",+557134517777,340.8165892855835
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Caminho de Casa,Restaurants,4.1,"R. Anísio Teixeira, 161",+557133537036,483.6895871092625
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Cantina Cosa Nostra,Restaurants,4.4,"Rua Bahia, 144",+557132403977,1373.8676325197519
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Outback Steakhouse,Restaurants,4.3,Shopping Iguatemi,+557134501280,1445.7203849060336
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Terraço,Restaurants,4.0,"Av. Antônio Carlos Magalhães, 656",+5507134510620,445.25733576847887
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Mariposa,Restaurants,4.2,"R. Anísio Teixeira, 161 - 32",+557133545358,452.62516664525276
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Martim Pescador,Restaurants,3.8,"R. das Hortênsias, 246",+557133549698,371.8862809375669
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Tai San,Restaurants,4.5,"R. Paulo VI, 1021",+557134526000,650.4559299244736
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Sal Marinho,Restaurants,4.5,"R. Território do Rio Branco, 219",+557135612000,858.2749724451496
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Clube do Churrasco,Restaurants,4.4,"Av. Tancredo Neves, 148",,1323.8791312925273
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Restaurante e Loja Produtos Naturais Espaço Natural,Restaurants,4.0,Av. Antônio Carlos Magalhães 848 lj 22,+557133532686,1377.9063785439685
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Gibão de Couro,Restaurants,4.3,"R. Mato Grosso, 53",+557132406611,1433.9999217712434
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Empada Brasil,Restaurants,4.4,"R. Dr. José Peroba, 297, Lj 04",,1483.102910928826
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Raghid Restaurante,Restaurants,4.0,Av. Antônio Carlos Magalhães 1034 lj 25C,+557133519728,523.0004941427541
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Risoteria Terra Brasil,Restaurants,4.0,"R. das Hortênsias, 966",+557130196800,328.79394211259836
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Tortarelli,Restaurants,4.4,"R. das Hortênsias, 552",+557133442022,87.61004081965034
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Restaurante Pereira,Restaurants,3.0,"Rua das Hortênsias, 612, Itaigara",+557133532078,177.6129688176512
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Ciciliotti,Restaurants,4.0,"R. das Hortênsias, 812",+557130336700,177.24723478217027
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Primo Pastifício,Restaurants,4.7,"Av. Paulo VI, 1622",+557121370772,520.8794304901204
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Rocca Pizzaria,Restaurants,3.3,"R. das Hortênsias, 564",+557134512086,76.66816007172558
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Conversa Fiada Bar e Restaurante,Restaurants,3.9,"R. Artur de Azevedo Machado, 1909",+557130334487,1555.8382909546356
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Tmk Club,Restaurants,4.5,Av. Tancredo Neves 148,+557134500836,1428.7959617552128
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Spaghetti Lilás,Restaurants,4.3,"Alameda Benevento, 509",+557132703872,708.8792424380439
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Bar e restaurante Irmã Poesia,Restaurants,5.0,Praça Dodô e Osmar,,1371.4566624637262
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Pontfilé Comida Caseira,Restaurants,4.0,"Avenida Acm,Pituba Parque Center.",,612.4834922172089
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Yan Ping,Restaurants,4.0,Centro Comercia Shopping da Bahia,+557134503055,1284.214083473013
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Tokai Express,Restaurants,4.0,Av. Tancredo Neves 148 lj 6,+557134502347,1268.2341106039285
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Totus Kebaberia,Restaurants,4.5,"Rua das Rosas, 528",+557133603337,479.2839581868708
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Acarajé Dária e Laura,Restaurants,4.4,R. dos Maçons,+557134611452,851.7447691084236
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Restaurante Casa do Comércio,Restaurants,4.6,"Av. Tancredo Neves, 1109",+557132739764,1527.0676691914534
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Armazém Paulistano,Restaurants,3.8,"R. Clara Nunes, 387, Loja 13",+557133428282,1010.8801702215901
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Restaurante e Churrascaria Candeal,Restaurants,4.0,"Rua das Acácias, 463 Caminho das Árvores",+557133549165,363.0700136951363
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Restaurante Origem,Restaurants,5.0,"Alameda das Algarobas, 74",+5571992024587,775.9463744242958
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Restaurants,Cazolla Gastrô Burguer Beer,Restaurants,5.0,"Av. Paulo VI, 1878",+557130161557,425.25215303750065
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Zaccaria Bar,Bars,4.4,"Rua das Margaridas, 95",+557121374914,591.0482053684512
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Preto,Bars,4.1,"R. Guillard Muniz, 771",+557130162218,188.7089620558256
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Texas Country Bar,Bars,4.0,"Avenida Paulo VI, 1535 - Pituba",,551.0743401917762
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Ponte Aérea,Bars,3.6,R. São Paulo 404,+557133461200,1280.0182621757197
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bravo Burger & Beer,Bars,4.3,"R. das Hortênsias, 478",+557135610829,152.88809031066313
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,SP20 Restolounge,Bars,4.0,"R. São Paulo, 20",+557130221624,1273.3284818546276
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar Santo Graal,Bars,3.0,"Rua das Hortências, 954",+557134520612,320.10485989089636
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar do Bigode,Bars,4.0,"R. Rubem Berta, 198",+557199358939,1177.31651519272
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar Pa2,Bars,4.0,R. Mato Grosso 510,+557133463583,994.1291841923734
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Eu Vi,Bars,3.3,"Av. Miguel Navarro y Canizares, 234",+557133512700,875.2793829041509
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,La Plata Restaurante e Lounge,Bars,4.0,"Av Paulo VI, 1247",+557133531229,693.6796481703582
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Munik Boteco Gourmet,Bars,0.0,R. Guillard Muniz 720,+557134522746,215.06902641873177
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Vem Pra Carlota,Bars,5.0,"Av. Paulo VI, 1828",,431.060826392514
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Restaurante Tijuana Mexican Bar,Bars,3.6,"Av. Antônio Carlos Magalhães, 1298",+557130122412,963.474820893158
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,B-23 Louge Music Bar,Bars,4.0,"Rua Anísio Teixeira, 161",+557133532348,452.62516664525276
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Parrillero,Bars,3.8,"R. Fernando Menezes de Góes, 388",+557133473821,1384.212407723056
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bartolomeu Bar e Restaurante,Bars,0.0,R. Guillard Muniz 720,+557134515772,215.06902641873177
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar e restaurante Irmã Poesia,Bars,5.0,Praça Dodô e Osmar,,1371.4566624637262
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Cazolla Gastrô Burguer Beer,Bars,5.0,"Av. Paulo VI, 1878",+557130161557,425.25215303750065
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar e Lanchonete Do Canal,Bars,4.0,"R. Miguel Navarro Y Cañizares, 300",+557134514442,858.9625843684618
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Santissimo Empório,Bars,5.0,Centro Comercial Paseo Itaigara,+557121326691,1147.12017163686
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Reconcavo,Bars,0.0,"R. das Hortências, 966",,328.79394211259836
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,DiFoca,Bars,3.7,"Av. Antônio Carlos Magalhães, 2949",+5571988710164,1220.647182582749
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Cabana da Cely,Bars,3.7,"R. Território do Guaporé, 145 - Pituba",+557133478217,931.2196803142787
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Conversa Fiada Bar e Restaurante,Bars,3.9,"R. Artur de Azevedo Machado, 1909",+557130334487,1555.8382909546356
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Adega Tio Sam,Bars,4.5,"R. Ceará, 339",+557133586250,1146.4157509733027
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Santo Antônio,Bars,3.3,"Av. Octávio Mangabeira, 2323",+557132401491,1397.1519064593153
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,O Point Bar Restaurante e Pizzaria,Bars,4.0,"Alameda Florença, 77 Parque Júlio César",+557130113207,974.8179962586175
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Quatro Ventos Bar e Restaurante,Bars,4.0,"Largo da Mariquita, 45-99",,1505.4256420087695
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Boteco Di Esquina,Bars,3.5,"R. Amazonas, 782",+557131669430,1274.9500649483207
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Beach Stop,Bars,3.5,"Av. Octávio Mangabeira, 2581",+557130235865,1488.962405654275
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar e Confraria Quintal de Casa,Bars,0.0,Av. Paulo VI 1609,+557133541729,543.1172562338637
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Picanha's Espeteria,Bars,3.0,"Alameda Benevento, 37 Pituba",+557135302407,843.9009181301788
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Caranga,Bars,3.6,"R. Minas Gerais, 643",+557132486340,1489.9984286793463
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Sublime Burger,Bars,0.0,"R. das Orquídeas, 1535",+5571997040578,542.8168874133719
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Bar do Peixoto,Bars,5.0,"R. Gen. Oriosvaldo Pereira Lima, 51",+557133417899,1789.9052248054568
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Ronaldo S Nascimento,Bars,0.0,R. da Camélias 44,+557133532715,674.1470589230868
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Havana Comercial de Alimentos e Bebidas,Bars,0.0,Av. Paulo VI 1697 cais B,+557133596044,700.6061453501416
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Vinhos - Adega,Bars,0.0,"Av. Paulo VI, 3 - Pituba",+557132404666,1135.3155109374247
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Bars,Restaurante Marinata,Bars,3.3,"Rua Solimões, 107",,1882.9451128256203
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Bodytech,Fitness & Instruction,4.3,"Av. Tancredo Neves, 148",+557134501832,1354.6744703727497
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Estação Atlética,Fitness & Instruction,4.0,"R. Aristides Fraga Lima, 217",+557134514444,949.9290533190426
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Ana Manzano Pilates e Estética,Fitness & Instruction,4.0,Av. Antônio Carlos Magalhães 3244 s 921,+557130138305,870.4937623264849
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Action Fitness Academia,Fitness & Instruction,5.0,R. das Hortênsias 682,+557134516900,35.33792649849418
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Ávila Fitness,Fitness & Instruction,4.7,"Rua Teixeira Barros 351, Brotas",+557130228201,1175.53275933018
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Centro de Treinamento de Judô - Ctj - Judô e Jiu-Jitsu,Fitness & Instruction,0.0,"R Joao Dorea Gomes, 36 Itaigara",+557133587204,337.05302042251003
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Selfit Academias,Fitness & Instruction,4.0,"Av. Antônio Carlos Magalhães, 155",+557133627247,1178.2544851080547
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Estética Fitness,Fitness & Instruction,4.5,"Av. Manoel Dias da Silva, 2306, Pituba",+557132482230,1359.6898063879014
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Studio Físio,Fitness & Instruction,0.0,"R. das Dálias, 385",+557134512021,155.72071331604263
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Centro de Yôga Ferreira,Fitness & Instruction,0.0,"R. Rubem Berta, 435",+557130185524,932.225881672462
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Club Set,Fitness & Instruction,0.0,R. das Hortênsias 288 lj 02,+557133538369,336.9428391630771
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Elisbenia dos Anjos Silva,Fitness & Instruction,0.0,R. João Varela 204,+557130141777,365.77714382254896
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Aka-CEAM Karatê,Fitness & Instruction,0.0,"R. Érico Veríssimo, 53",+557133516102,535.7313169708754
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Curves Academia,Fitness & Instruction,0.0,Av. Paulo VI 1759,+557133530064,465.8388616166907
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Transforma Estúdio do Corpo,Fitness & Instruction,0.0,R. Érico Veríssimo 213 s 203 s 204,+557133582870,463.34541228425223
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Gandhi Cordeiro Tropia,Fitness & Instruction,0.0,Av. Antônio Carlos Magalhães 846 s 252,+557134973065,526.881087939032
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Stilo Espaço de Bem Estar,Fitness & Instruction,0.0,R. das Rosas 550,+557133554262,470.44381690710867
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Family Fitness,Fitness & Instruction,0.0,R. das Rosas 418,+557133517831,567.7677418668457
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Yoga e Natureza,Fitness & Instruction,0.0,R. Afonso Ruy 116,+557133583509,553.0491199684775
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Contours,Fitness & Instruction,3.7,"R. Rubem Berta, 366",+557132403737,992.1455770594847
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Praça Aquárius,Fitness & Instruction,3.7,"R. Des. Álvaro Clemente de Oliveira, s/n",,1204.8848924308818
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Estação Saúde Garrido Academia Ginástica,Fitness & Instruction,0.0,R. do Cipreste 178,+557133540388,692.1077996225206
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Ponto de Equilíbrio Yoga e Pilates,Fitness & Instruction,0.0,R. das Hortênsias 434,+557133586052,204.9625146348968
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Top Fitness Fernando Jaçanã,Fitness & Instruction,0.0,Rua Rubens Guelli,+557131134710,1108.4779384077801
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Budokan,Fitness & Instruction,3.0,Al Benevento 125,+557133594259,882.9899546433027
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Mobile Estúdio de Condicionamento Físico,Fitness & Instruction,0.0,R. Altino Serbeto de Barros 173 s 1405,,759.6795573278056
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Sos Fitness,Fitness & Instruction,0.0,R. Almirante Carlos Paraguassu de Sá 89,+557133440938,769.2281208542471
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Working Sports,Fitness & Instruction,0.0,Al das Espatódeas 53,+557133410173,833.6202401439314
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Alpha Fitness,Fitness & Instruction,0.0,"Alameda das Espatódeas, 53",+557121325729,1095.0768018376948
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Sport Fitness,Fitness & Instruction,0.0,R. Ceará 138,+557132405945,1182.0956596810718
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Contouns Express Academia,Fitness & Instruction,0.0,R. Rubem Berta 366,+557132403737,1087.7566429362687
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Casa de Yoga,Fitness & Instruction,5.0,"dos Eucaliptos, 56 - Cam Árvores",+557133587853,1297.5992280059838
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Boa Forma,Fitness & Instruction,5.0,R. João Bião Cerqueira 306 s 1,+557133518839,1038.0717158279708
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Alpha,Fitness & Instruction,0.0,"Rua Ceará, 138",+557135066686,1228.4171758380637
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Espaço Vittal,Fitness & Instruction,4.0,Al Benevento 158,+557134522307,884.331838007765
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Rosacea Centro de Yoga e Terapia,Fitness & Instruction,0.0,R. da Alfazema 761 s 801,+557133542952,1179.0813290781728
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Bio Ativa,Fitness & Instruction,3.3,"R. Marechal Andréa, 4",+557133476001,804.120976501774
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Espaço Mahatma Gandhi,Fitness & Instruction,0.0,R. Rio Janeiro 694,+557132487533,1173.3586429801032
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Corpo Livre Academia,Fitness & Instruction,5.0,Travessa Stiep,+557133425463,1680.0270909980015
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Atelier do Corpo,Fitness & Instruction,0.0,R. São Paulo 692,+557132409584,1329.8345562217362
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia Olímpica Esportes,Fitness & Instruction,0.0,R. Adelaide Fernandes da Costa 841,+557133453458,1324.7097399411568
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Mb 2 Atividade Física Personalizada,Fitness & Instruction,0.0,Av. Tancredo Neves 148,+557134500094,1428.7959617552128
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Rd Studium,Fitness & Instruction,0.0,R. Arthur de Azevêdo Machado 1014 s 27,+557130139678,1452.1873864959289
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Well Fitness Club,Fitness & Instruction,0.0,"Av. Miguel Navarro y Cañizares, 252",+557130330101,867.164777549422
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Shaolin Kung Fu Academy,Fitness & Instruction,0.0,R. das Rosas 302,+557133583609,654.6795115917866
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Quality Pilates,Fitness & Instruction,3.0,"Rua Amazonas, 1156",+557133442611,1171.0753633109066
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Academia de Pole Dance da Bahia,Fitness & Instruction,4.0,"Rua Alexandre Herculano, 54, Pituba",+557186696114,647.346394915779
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Vitacorpus,Fitness & Instruction,0.0,R. Arthur de Azevedo Machado 1512,+557134891614,1562.0507689313883
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Grupo Atividade Física com Qualidade,Fitness & Instruction,0.0,R. Coronel Almerindo Rehem 82 s 1103,+557132711967,1571.7635436134417
27 - Praça Ana Lúcia Magalhães,-12.993338,-38.460908,Fitness & Instruction,Well Prime Academia,Fitness & Instruction,0.0,"Av. Octávio Mangabeira, 2521",+557133454680,1448.5142619557198
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Don Papito,Restaurants,4.4,"Rua Curumaia, 6",+557133670104,39.007057580712825
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Bistrot Du Vin,Restaurants,5.0,"R. Minas Gerais, 197",+557132311933,624.0306606046494
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Restaurante Sertão Bom,Restaurants,3.9,"Av. Octávio Mangabeira, 321",+557133467449,327.41402461361093
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Quinta Avenida Grill,Restaurants,3.8,"Av. Manoel Dias da Silva 844, Pituba",+557132480221,169.05511131550622
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Boteco do Pirí,Restaurants,4.0,"Rua Paraíba, 250",+5571987810095,883.1079528480618
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Paraíso da Carne do Sol,Restaurants,4.2,"Av. Octávio Mangabeira, 15",+557133453770,123.16562499684366
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Subway,Restaurants,4.0,Av. Octávio Mangabeira 2581 lj 2,+557130123811,39.007057580712825
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Caranguejo de Sergipe,Restaurants,3.5,"Av. Octávio Mangabeira, 8880",+557133620544,121.59505120601864
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Vêneto Grill Restaurante,Restaurants,5.0,Av. Amaralina 74,+557133441038,508.2740486963456
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Lanchonete Lourdes Lanches,Restaurants,4.0,R. Braulio Nascimento,+557188232601,454.1855142783351
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Canaã Steak House & Pub,Restaurants,4.3,"R. Minas Gerais, 229",+557130188204,652.0473350696784
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Tijuana,Restaurants,3.7,"R. Minas Gerais, 271",+557132488699,693.7656766512944
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Pizzaria Baggio,Restaurants,3.5,Av. Octávio Mangabeira 54,+557133452766,18.870309697738247
11 - Amaralina,-13.0123191,-38.4683242,Restaurants,Restaurante Maria da Lenha,Restaurants,3.5,Av. Octávio Mangabeira 211,+557133626265,167.15249806878512
